character_name,staff_id,contribution_role,work_start_date,work_end_date,allocated_cost_usd
Aria,E005,Character Designer,2025-05-08,2025-10-24,438.27
Aria,E030,Voice Actor,2025-06-11,2025-11-01,509.52
Aria,E019,Lore Writer,2025-05-31,2025-10-22,393.11
Aria,E012,Campaign Lead,2025-07-02,2025-11-01,201.13
Lu Mei,E017,Character Designer,2025-02-17,2025-06-27,755.14
Lu Mei,E030,Voice Actor,2025-03-23,2025-06-14,463.47
Lu Mei,E011,Lore Writer,2025-01-25,2025-06-14,273.49
Lu Mei,E012,Campaign Lead,2025-02-22,2025-07-07,200.02
Diego,E009,Character Designer,2025-07-01,2025-10-19,732.01
Diego,E030,Voice Actor,2025-05-26,2025-10-09,546.77
Diego,E015,Lore Writer,2025-05-17,2025-10-08,188.51
Diego,E016,Campaign Lead,2025-06-04,2025-10-05,162.10
Asahina,E013,Character Designer,2025-07-07,2025-11-04,806.14
Asahina,E018,Voice Actor,2025-06-30,2025-11-16,508.59
Asahina,E027,Lore Writer,2025-05-30,2025-10-31,362.93
Asahina,E016,Campaign Lead,2025-07-02,2025-11-02,181.95
Shoma,E025,Character Designer,2025-07-14,2025-12-14,453.21
Shoma,E006,Voice Actor,2025-07-21,2025-12-19,377.35
Shoma,E023,Lore Writer,2025-06-16,2025-12-06,182.91
Shoma,E032,Campaign Lead,2025-08-07,2025-11-20,305.77
Grigorij,E021,Character Designer,2025-07-06,2025-12-07,900.62
Grigorij,E018,Voice Actor,2025-07-04,2025-12-09,561.46
Grigorij,E019,Lore Writer,2025-07-11,2026-01-04,338.56
Grigorij,E008,Campaign Lead,2025-08-09,2025-12-10,293.12
Havoc,E017,Character Designer,2025-12-18,2026-05-07,600.66
Havoc,E022,Voice Actor,2025-12-29,2026-04-25,260.46
Havoc,E007,Lore Writer,2025-12-02,2026-04-25,253.23
Havoc,E012,Campaign Lead,2025-11-27,2026-05-02,190.06
Soren,E009,Character Designer,2025-04-14,2025-09-18,941.67
Soren,E010,Voice Actor,2025-04-12,2025-09-05,371.94
Soren,E003,Lore Writer,2025-04-28,2025-09-24,286.49
Soren,E028,Campaign Lead,2025-04-19,2025-09-22,212.34
Zirko,E021,Character Designer,2025-08-27,2026-01-16,818.77
Zirko,E030,Voice Actor,2025-08-01,2026-01-15,577.54
Zirko,E003,Lore Writer,2025-08-28,2026-01-21,213.92
Zirko,E024,Campaign Lead,2025-09-02,2026-01-16,227.43
Veronica,E005,Character Designer,2025-09-16,2026-02-07,420.61
Veronica,E018,Voice Actor,2025-10-09,2026-02-14,355.00
Veronica,E007,Lore Writer,2025-09-20,2026-03-01,398.28
Veronica,E004,Campaign Lead,2025-08-28,2026-02-23,188.31
Iara,E013,Character Designer,2025-04-15,2025-08-21,731.29
Iara,E022,Voice Actor,2025-04-29,2025-08-15,194.83
Iara,E015,Lore Writer,2025-03-09,2025-08-23,190.57
Iara,E008,Campaign Lead,2025-05-15,2025-08-29,245.79
Priya,E025,Character Designer,2025-01-30,2025-07-20,567.15
Priya,E026,Voice Actor,2025-01-28,2025-07-13,280.15
Priya,E015,Lore Writer,2025-02-01,2025-07-15,214.23
Priya,E012,Campaign Lead,2025-04-15,2025-07-21,239.66
Helena,E013,Character Designer,2025-02-03,2025-06-04,573.34
Helena,E030,Voice Actor,2025-03-03,2025-05-30,482.03
Helena,E015,Lore Writer,2024-12-18,2025-06-08,181.90
Helena,E020,Campaign Lead,2024-12-29,2025-06-17,253.17
Louise,E001,Character Designer,2025-12-02,2026-04-03,554.40
Louise,E002,Voice Actor,2025-10-25,2026-04-25,502.69
Louise,E007,Lore Writer,2025-12-21,2026-04-16,256.59
Louise,E012,Campaign Lead,2025-12-27,2026-04-10,235.19
Olavi,E013,Character Designer,2025-02-23,2025-06-08,653.71
Olavi,E030,Voice Actor,2025-01-30,2025-06-17,495.18
Olavi,E023,Lore Writer,2025-01-19,2025-06-23,215.27
Olavi,E016,Campaign Lead,2025-02-24,2025-06-08,157.37
Aya,E025,Character Designer,2025-03-02,2025-06-08,426.96
Aya,E030,Voice Actor,2025-03-05,2025-06-03,379.54
Aya,E003,Lore Writer,2024-12-24,2025-06-01,246.87
Aya,E024,Campaign Lead,2025-01-09,2025-06-13,225.38
Nzuzi,E005,Character Designer,2025-01-31,2025-06-14,339.48
Nzuzi,E022,Voice Actor,2024-12-30,2025-06-14,318.61
Nzuzi,E003,Lore Writer,2025-02-02,2025-06-16,212.44
Nzuzi,E008,Campaign Lead,2025-01-10,2025-06-03,313.49
Lionel,E009,Character Designer,2025-03-01,2025-06-06,916.97
Lionel,E014,Voice Actor,2025-02-12,2025-05-30,392.19
Lionel,E007,Lore Writer,2025-02-26,2025-05-30,386.20
Lionel,E008,Campaign Lead,2025-02-16,2025-06-01,312.72
Camila,E029,Character Designer,2025-02-18,2025-06-11,901.03
Camila,E006,Voice Actor,2025-01-18,2025-06-12,267.60
Camila,E019,Lore Writer,2024-12-18,2025-06-06,405.07
Camila,E028,Campaign Lead,2025-01-28,2025-06-04,308.63
Sergei,E009,Character Designer,2024-12-21,2025-05-29,635.87
Sergei,E006,Voice Actor,2025-02-06,2025-06-10,264.15
Sergei,E003,Lore Writer,2025-01-06,2025-06-15,211.94
Sergei,E008,Campaign Lead,2025-01-06,2025-06-19,265.66
Zeynep,E013,Character Designer,2025-02-14,2025-06-16,641.07
Zeynep,E014,Voice Actor,2025-02-21,2025-06-18,418.12
Zeynep,E031,Lore Writer,2025-01-11,2025-06-20,284.97
Zeynep,E016,Campaign Lead,2025-02-27,2025-06-05,167.17
